"date","period","sales","cumsales","cumsales_1","cumsales2","cumsales2_1"
"4/1/2014",1,1,1,0,1,0
"7/1/2014",2,1,2,1,4,1
"10/1/2014",3,1.9,3.9,2,15.21,4
"1/1/2015",4,1.3,5.2,3.9,27.04,15.21
"4/1/2015",5,5.3,10.5,5.2,110.25,27.04
"7/1/2015",6,6.1,16.6,10.5,275.56,110.25
"10/1/2015",7,8.1,24.7,16.6,610.09,275.56
"1/1/2016",8,4.2,28.9,24.7,835.21,610.09
"4/1/2016",9,3.5,32.4,28.9,1049.76,835.21
"7/1/2016",10,7,39.4,32.4,1552.36,1049.76
"10/1/2016",11,8.2,47.6,39.4,2265.76,1552.36
"1/1/2017",12,5.6,53.2,47.6,2830.24,2265.76
"4/1/2017",13,6.1,59.3,53.2,3516.49,2830.24
"7/1/2017",14,6,65.3,59.3,4264.09,3516.49
"10/1/2017",15,11.6,76.9,65.3,5913.61,4264.09
"1/1/2018",16,8.2,85.1,76.9,7242.01,5913.61
"4/1/2018",17,8.6,93.7,85.1,8779.69,7242.01
"7/1/2018",18,10,103.7,93.7,10753.69,8779.69
"10/1/2018",19,18.2,121.9,103.7,14859.61,10753.69
"1/1/2019",20,11.4,133.3,121.9,17768.89,14859.61
"4/1/2019",21,12.3,145.6,133.3,21199.36,17768.89
"7/1/2019",22,14.2,159.8,145.6,25536.04,21199.36
"10/1/2019",23,15.5,175.3,159.8,30730.09,25536.04
"1/1/2020",24,13.7,189,175.3,35721,30730.09
