"t","psales","pcumsales"
1,2.37208824211501,2.37208824211501
2,2.6503521456352,5.02244038775021
3,2.95767463259312,7.98011502034333
4,3.29616704340446,11.2762820637478
5,3.66784839667246,14.9441304604203
6,4.07456405554526,19.0186945159655
7,4.51788546697694,23.5365799829424
8,4.99898950595891,28.5355694889014
9,5.51851682964916,34.0540863185505
10,6.07640999328352,40.130496311834
11,6.67173399325509,46.8022303050891
12,7.30248444584126,54.1047147509304
13,7.9653917857488,62.0701065366792
14,8.65573358060778,70.725840117287
15,9.36717106573758,80.0930111830245
16,10.0916298828501,90.1846410658746
17,10.8192481221954,101.00388918807
18,11.5384162873627,112.542305475433
19,12.235932764755,124.778238240188
20,12.8972938435314,137.675532083719
21,13.5071286017224,151.182660685442
22,14.0497758918953,165.232436577337
23,14.5099838950643,179.742420472401
24,14.8736939619927,194.616114434394
25,15.1288524437,209.744966878094
26,15.2661803524954,225.011147230589
27,15.2798244822594,240.290971712849
28,15.1678177323625,255.458789445211
29,14.9322918031504,270.391081248362
30,14.5794108418399,284.970492090202
31,14.1190263633599,299.089518453561
32,13.5640865210129,312.653604974574
33,12.9298607656078,325.583465740182
34,12.233059279576,337.816525019758
35,11.4909326076964,349.307457627455
36,10.7204306056048,360.027888233059
37,9.93748361472429,369.965371847784
38,9.15644666166481,379.121818509448
39,8.38972393240451,387.511542441853
40,7.64756964576827,395.159112087621
41,6.93804532713834,402.09715741476
42,6.26710345459963,408.364260869359
43,5.63876330905863,414.003024178418
44,5.05534552052226,419.05836969894
45,4.51773577097255,423.576105469913
46,4.02565388568095,427.601759355594
47,3.57791086131483,431.179670216909
48,3.17264234395309,434.352312560862
49,2.80751215240205,437.159824713264
50,2.4798834164056,439.639708129669
