"customer","purchase_amt","email","revenue","number_of_orders","number_of_orders2","recency_days","distance","weights","subclass","pred_purchase_amt"
1,0,0,59,1,1,299,0.274969041642872,1,"270",9.30263929570428
2,58.95,1,477.5,18,324,68,0.534026870226695,1,"3762",43.1262062174416
3,0,1,370.5,12,144,21,0.471589964821296,1,"6170",33.1521937503339
4,0,1,39,1,1,391,0.26504835268236,1,"6578",10.0514966445684
5,0,0,761.5,8,64,30,0.620722823369395,1,"4271",28.0396969282976
6,0,0,61.85,3,9,189,0.292114557817001,1,"3079",12.1091359074147
7,0,0,343,10,100,29,0.450581234684011,1,"8504",24.9554673238297
8,108,1,341.95,11,121,43,0.454076647484656,1,"8213",30.5331104452884
9,0,1,158,3,9,389,0.3207472514726,1,"8617",12.2557420268208
11,0,1,97.95,2,4,70,0.303232918760303,1,"385",16.3217496968921
12,0,1,219.95,7,49,50,0.382121336517851,1,"776",23.4044798794274
14,0,1,35,1,1,383,0.263947028496881,1,"1552",10.1285808276696
16,0,1,11.5,1,1,491,0.252620926040492,1,"2174",8.68952674196609
17,0,1,129.75,6,36,50,0.340206797499474,1,"2564",21.1712264557393
18,0,0,29.5,1,1,40,0.27330315980461,1,"7451",12.6295026125317
20,0,1,211,5,25,13,0.368286440628478,1,"3763",21.852722032327
21,0,0,340,11,121,13,0.454472357986185,1,"4578",26.6085192863265
23,0,0,122,4,16,330,0.315380115397785,1,"7570",11.2077196422112
26,0,1,208,5,25,393,0.352459973088561,1,"5613",14.130952019033
27,0,1,691.45,15,225,93,0.617149756287801,1,"6007",41.0724039366527
31,0,1,515.5,18,324,37,0.551802896078458,1,"6218",45.1498460038693
32,29.5,1,90,3,9,503,0.291459739474486,1,"6262",10.2019986386594
33,0,0,153.9,5,25,347,0.332878963979939,1,"1797",11.8805961826065
34,0,0,108.5,2,4,374,0.296455519783272,1,"2064",9.28894719194967
36,0,0,124,4,16,60,0.325957860329988,1,"335",15.5456704993485
38,0,0,485,7,49,67,0.495052091836846,1,"4576",22.189040498606
39,0,1,531,5,25,162,0.49881727386457,1,"6540",22.0530398781779
42,0,0,123.5,4,16,22,0.327160277502759,1,"3323",16.2455896815958
43,0,1,64,2,4,346,0.281426696815937,1,"6714",11.490384442481
44,0,1,386.5,6,36,30,0.447703594737272,1,"6760",24.8022200362268
45,0,1,162.95,4,16,391,0.328794971152121,1,"6809",13.0128057246809
46,190.9,1,190.95,9,81,23,0.381544766163053,1,"6850",26.2294831668885
47,0,0,327,10,100,22,0.443951583962469,1,"2233",24.932473153688
48,0,0,535.5,20,400,460,0.545969437527484,1,"3039",28.017217689198
50,72,1,125,3,9,59,0.320171481410416,1,"6994",17.7615458093208
51,0,0,139.5,4,16,91,0.330795948454901,1,"1504",15.1246246864724
52,0,1,306,7,49,29,0.419082970977346,1,"7061",25.0441660233442
53,0,0,199,1,1,672,0.31282721081566,1,"4920",6.21594985600708
54,0,0,374,11,121,96,0.465803590292247,1,"5712",24.8107283614736
55,0,0,59,1,1,429,0.270664744114006,1,"4081",7.85464826930702
57,0,1,1089.9,15,225,47,0.765320493474647,1,"7253",51.2217039741399
58,0,1,1146.5,10,100,9,0.770372736728522,1,"7297",44.2472436978842
59,0,1,551.5,13,169,84,0.55174146377439,1,"7345",35.5746401709793
62,0,1,262.65,10,100,33,0.415923576168133,1,"7475",28.2692538208251
63,0,1,167.45,7,49,241,0.353369875679886,1,"7523",18.4177269637983
65,0,1,66.95,2,4,70,0.291900412026137,1,"7610",16.0350744940073
66,0,0,301,13,169,21,0.445239164579962,1,"3185",28.447621711528
67,0,1,87,3,9,12,0.307548490136312,1,"7694",18.3429803180689
69,0,0,264,8,64,32,0.406635044992882,1,"8915",21.5598283369389
70,0,0,68,2,4,104,0.291107757980692,1,"3861",12.6979858011547
71,119.5,1,593.9,16,256,2,0.582514724509566,1,"7865",44.5582096424578
73,0,0,129,1,1,20,0.309906950323519,1,"1997",13.7264454330972
74,0,1,276.95,5,25,14,0.395467021478764,1,"7979",22.6139999809475
75,0,1,50,1,1,38,0.280549530721206,1,"8014",15.5582789558753
76,0,1,69,1,1,101,0.285157808896482,1,"8048",14.6050533343731
77,0,1,787.34,18,324,9,0.665545516057774,1,"8086",52.2083936950637
79,0,0,102.3,5,25,150,0.320262176491489,1,"2599",14.6177130950156
81,0,1,278.45,10,100,17,0.423304123272377,1,"8257",28.9696968862678
