customer,email,purchase_amt,revenue,number_of_orders,number_of_orders2,recency_days
1,0,0,59,1,1,299
2,1,58.95,477.5,18,324,68
3,1,0,370.5,12,144,21
4,1,0,39,1,1,391
5,0,0,761.5,8,64,30
6,0,0,61.85,3,9,189
7,0,0,343,10,100,29
8,1,108,341.95,11,121,43
9,1,0,158,3,9,389
10,0,328,257,5,25,403
11,1,0,97.95,2,4,70
12,1,0,219.95,7,49,50
13,0,0,69,1,1,387
14,1,0,35,1,1,383
15,0,0,53.5,2,4,23
16,1,0,11.5,1,1,491
17,1,0,129.75,6,36,50
18,0,0,29.5,1,1,40
19,0,0,74,2,4,143
20,1,0,211,5,25,13
21,0,0,340,11,121,13
22,0,0,49,1,1,22
23,0,0,122,4,16,330
24,0,0,94,2,4,39
25,1,38,660.45,28,784,42
26,1,0,208,5,25,393
27,1,0,691.45,15,225,93
28,0,0,88,2,4,387
29,0,0,229.85,5,25,473
30,0,0,46.5,2,4,25
31,1,0,515.5,18,324,37
32,1,29.5,90,3,9,503
33,0,0,153.9,5,25,347
34,0,0,108.5,2,4,374
35,1,373.9,585.35,16,256,4
36,0,0,124,4,16,60
37,0,0,65,1,1,709
38,0,0,485,7,49,67
39,1,0,531,5,25,162
40,1,542,628.55,17,289,17
41,0,0,128,2,4,212
42,0,0,123.5,4,16,22
43,1,0,64,2,4,346
44,1,0,386.5,6,36,30
45,1,0,162.95,4,16,391
46,1,190.9,190.95,9,81,23
47,0,0,327,10,100,22
48,0,0,535.5,20,400,460
49,0,9.95,34.9,2,4,138
50,1,72,125,3,9,59
51,0,0,139.5,4,16,91
52,1,0,306,7,49,29
53,0,0,199,1,1,672
54,0,0,374,11,121,96
55,0,0,59,1,1,429
56,0,0,0,1,1,13
57,1,0,1089.9,15,225,47
58,1,0,1146.5,10,100,9
59,1,0,551.5,13,169,84
60,0,169,88,3,9,42
61,0,0,36,2,4,23
62,1,0,262.65,10,100,33
63,1,0,167.45,7,49,241
64,0,0,27.95,3,9,583
65,1,0,66.95,2,4,70
66,0,0,301,13,169,21
67,1,0,87,3,9,12
68,0,0,173,6,36,462
69,0,0,264,8,64,32
70,0,0,68,2,4,104
71,1,119.5,593.9,16,256,2
72,0,0,99.9,4,16,102
73,0,0,129,1,1,20
74,1,0,276.95,5,25,14
75,1,0,50,1,1,38
76,1,0,69,1,1,101
77,1,0,787.34,18,324,9
78,0,0,79,1,1,31
79,0,0,102.3,5,25,150
80,0,0,117,3,9,4
81,1,0,278.45,10,100,17
82,0,0,49.95,1,1,474
83,1,0,396.5,13,169,50
84,0,98,150.9,5,25,376
85,1,149,883.5,10,100,33
86,1,0,709.75,16,256,14
87,1,0,334.5,7,49,288
88,1,0,208,6,36,83
89,0,0,296.75,9,81,191
90,1,0,74.9,2,4,416
91,0,0,83.5,3,9,416
92,1,0,271.95,4,16,15
93,0,0,44.5,2,4,146
94,0,0,145,4,16,22
95,1,0,32,2,4,521
96,0,0,189.5,6,36,31
97,1,0,308,6,36,387
98,1,0,54.95,1,1,591
99,0,0,129.45,7,49,3
100,1,0,64,3,9,161
101,1,0,69,1,1,272
102,1,69,195,5,25,19
103,0,29.5,19.95,1,1,44
104,1,0,373,7,49,404
105,1,0,520.8,17,289,28
106,0,0,59,3,9,18
107,0,0,578.5,21,441,27
108,0,0,44,1,1,30
109,0,0,69.85,3,9,537
110,0,138,98,3,9,470
111,0,0,108,2,4,80
112,0,0,65.5,2,4,392
113,0,0,159,1,1,379
114,0,0,16.95,1,1,193
115,0,0,59,2,4,14
116,0,0,271.15,14,196,30
117,0,0,69,1,1,663
118,1,0,211,2,4,254
119,1,45,726.9,8,64,369
120,0,0,49,1,1,664
121,1,0,59.95,1,1,657
122,0,0,39.5,1,1,392
123,1,43,465,10,100,540
124,0,0,174.75,5,25,726
125,0,0,44,1,1,350
126,0,0,113,3,9,1
127,0,0,29.5,1,1,29
128,1,0,108,3,9,252
129,1,94,428.95,8,64,128
130,1,143,59,1,1,104
131,1,0,89,1,1,318
132,0,0,177,3,9,387
133,1,0,69,1,1,509
134,0,0,93.95,2,4,191
135,0,0,64,2,4,25
136,1,119.5,966.35,17,289,17
137,0,0,302.5,10,100,104
138,0,0,144.85,5,25,358
139,1,0,239,7,49,111
140,0,0,162,4,16,6
141,0,0,427.5,8,64,17
142,1,0,95.5,2,4,19
143,1,41,281.5,9,81,13
144,0,0,123,4,16,218
145,1,0,175.9,9,81,133
146,0,0,128.5,3,9,22
147,1,0,157.5,2,4,65
148,1,0,76,3,9,78
149,0,0,167,3,9,39
150,1,0,68,1,1,42
151,1,0,178,3,9,56
152,0,0,91,2,4,90
153,1,0,218,8,64,396
154,0,0,129,1,1,373
155,1,0,448.9,31,961,445
156,0,0,54.9,2,4,607
157,1,49,154,6,36,632
158,0,0,197,7,49,406
159,0,0,49,1,1,400
160,0,0,25,1,1,639
161,1,0,453.3,14,196,17
162,0,0,79,3,9,42
163,1,32,59,2,4,28
164,0,0,29,1,1,525
165,0,0,29,1,1,401
166,1,0,277,2,4,416
167,1,69,371,12,144,9
168,1,145.75,78.5,2,4,331
169,1,0,303.9,8,64,25
170,1,0,168,4,16,36
171,1,0,1497.25,34,1156,14
172,0,0,44,1,1,28
173,1,0,29,1,1,694
174,0,0,36.9,2,4,13
175,0,0,40,2,4,41
176,1,0,36,1,1,126
177,0,0,207,3,9,118
178,0,0,101.5,3,9,264
179,0,0,98,2,4,334
180,0,0,73,4,16,385
181,0,0,257.85,11,121,11
182,0,0,237.9,4,16,583
